questionLogID,questionID,difficulty,createdAt
"X'4F81FB25724D48A2B2D8E54D5346661D'","X'5FF67B58424F4B22B676FE9BFB49AA7E'",0.65,2024-04-08 20:52:42
"X'4F8717DEE44846F49FFF67EF94B5BC02'","X'9188AE8C51F24375B296F0081557485F'",0.40,2024-04-07 17:08:16
"X'4F99C8051A09404987D5C0D57A7ECEDB'","X'FF017A2EB617426C85294A43F82BEF0B'",2.43,2024-04-06 19:20:40
"X'4FA06663947548D8814FBD5E576861F6'","X'0C31D0C7915F4D95AC436EB11FA61681'",1.03,2024-04-09 08:06:25
"X'4FA18F1BFCC843E1AED687B5F06339CE'","X'69A364F4B9D243909F8641E5F7F70C30'",0.40,2024-04-04 01:38:08
"X'4FACAFD4E9DB4AA6BA4F8CA8320EFD39'","X'EE6B262055964B39832A980BE6D2E0E8'",0.80,2024-04-07 13:28:50
"X'4FAD86AA763742F0B8F97C13A3621DC6'","X'F55AA1AD5F6444A685350ED3B9D75BE4'",0.70,2024-04-06 17:30:13
"X'4FADB49E72B2467B912CD566CA677F73'","X'0262BB736CBB4A9183C125172AA12B5D'",0.30,2024-04-07 20:52:09
"X'4FB5A5680B50474DB4F1528F8039CBF1'","X'1C9E61CF2ABE480AADF3F73A94427801'",0.90,2024-04-07 21:17:17
"X'4FBB1B30E82340B9B03C4B968580400F'","X'57B7C129C6DE496EBFAAEFFD63765451'",0.60,2024-04-06 18:34:17
"X'4FBC8EAEA8EF4E76AFCEAEB39413AA1B'","X'D92B20A47C9449549F6527C0F44D891C'",0.61,2024-04-08 14:37:38
"X'4FC64C5CC4B6400C96BF3ADE374B0FE9'","X'5888541095D24CC79D1611D4B1A573E6'",0.60,2024-04-03 12:54:50
"X'4FC7A2D5D3BB4146B7A6B5FA4AE6B834'","X'C1DC386B2C6C4677A1D5A7C8393A1E19'",0.70,2024-04-04 19:00:55
"X'4FC971FC02EB472DB6690DDFF4B6F6A2'","X'567BAFD3F48E4ED296A232F6F796692A'",0.48,2024-04-07 17:12:48
"X'4FCB5673F1354EE485C63497D80947FF'","X'35E3DE9DDDBD447FBA37F38E5ADBDF8E'",0.81,2024-04-07 18:28:04
"X'4FDE0E943A7E420D87777E9D205A14A4'","X'B88D50251275463DA9A50D97E6C9D577'",0.70,2024-04-03 15:01:04
"X'4FF62A50C535462D91B08B7332AA170E'","X'29CB180576454D488FBF4B502186AB4C'",0.58,2024-04-08 20:48:41
"X'500EAEA676CB487D8279660F09BB6B28'","X'80D4CCCA5FA849F7BA6DD760286E6381'",0.80,2024-04-08 14:39:56
"X'5011326B74B84AC9981F727587E9DA79'","X'378A9DB87DA4421791A79603D5DA3030'",0.20,2024-04-07 16:52:12
"X'503040C0E3734F0BBBE8E12941D8542B'","X'35727DFC4B67449CA88D06B4320CA2D9'",3.28,2024-04-09 08:44:28
"X'503306B9F9024407A46A59BF88AEBDA2'","X'FC3C9206E1E94B439BC4C8A54178E535'",1.10,2024-04-07 20:46:13
"X'5043930066C84C7F97963C55F6CDC0E5'","X'0C6D72339A1C4CF5B14A2E48BE49BEAD'",0.54,2024-04-08 10:14:28
"X'504DADC2B68941D6AF7A7F2F22E29777'","X'FC4CF03601D446839DAFDFA4CF9F68C1'",1.77,2024-04-09 08:45:39
"X'50566B1D65E0489FB4BE033F94F8F56A'","X'C6A048F3BF8B468E8BDA8242413E108C'",2.03,2024-04-07 17:25:32
"X'506C970A17B04086B0E63EF8AB2C6D71'","X'5801DB5991484CE1A42798E953EA1EF8'",0.60,2024-04-03 08:23:33
"X'50812AEFADDF47A29FD208F06B98CC74'","X'EDF135A611A1491C94BCB7B33107EBD8'",0.71,2024-04-07 18:02:41
"X'5090891888F54973B62203483E0287E9'","X'3E6F657D3142439A943B60798C23EAE0'",0.71,2024-04-07 13:29:05
"X'509129DB170B41B68C4524FB78FDBE7C'","X'9C3E2F1CDDF047A3A8609C86D07FA9A1'",0.30,2024-04-03 08:37:29
"X'5094F8960D13481CBAE4D808C9EF3C55'","X'52B38CFC73C949F481F8107ACC818AD9'",0.31,2024-04-05 17:56:21
"X'509D165ED9CF4988B98A9AD332448C8F'","X'FBD4FF6BBA54411BB49C827F41FD6D42'",1.04,2024-04-08 22:46:27
"X'50BF0122E23D4021BEBA9900CBAFA8F9'","X'A31D2F06C25E4F77BCCBE2145E8DFFA1'",0.50,2024-04-03 21:15:58
"X'50D7C1D0D43645A8A34652BB98D8635B'","X'0E4A0ABBE6A8439C83DE0B73FEDAE739'",0.54,2024-04-07 18:05:23
"X'50EB304E6F4D4A7C9D37E22820DBC30C'","X'3E6F657D3142439A943B60798C23EAE0'",3.17,2024-04-08 17:45:25
"X'50EC5DDF3F6448279F806FB2551897CD'","X'2E90BA719889409596FFD702E7670873'",0.40,2024-04-07 13:15:48
"X'50EE4CCA9C7742278E395B4BB0FB2DBB'","X'5BE2A76244544D969640A1A7EC30237D'",0.50,2024-04-05 11:37:52
"X'5100DB4D7D4A4D15A32B05CC8550BD13'","X'5F87D854AF104232BD5BFDDFB9153579'",0.51,2024-04-07 13:59:24
"X'510B6425332643928E08B00E8E3899F6'","X'825531ACB955492385B0D5EFB47C2691'",0.20,2024-03-31 21:48:20
"X'510DB42342D64B3CA1FB6799C1DA16AD'","X'733F93A03B884D39B3715C2E5C73017C'",0.80,2024-04-03 14:02:07
"X'510E2173066443CB875C0B57C856B3A8'","X'5DECB10846AA4305A358F9755B36D2F3'",0.94,2024-04-09 08:06:22
"X'511A886A84394CB689326BFCFE9FEB70'","X'D7B26782A38E4DEB81DE630B0CE038D5'",0.90,2024-04-01 23:45:03
"X'512AB74F5F8640BBB0F9E6A0BF928A26'","X'F6A23487296A4C48A1076C3E58A97811'",0.62,2024-04-01 21:16:58
"X'5130523563764F1FA62CEE7D27AEB0C3'","X'FB3BC40267964D8F9D7B9D1E21A52580'",0.23,2024-04-07 20:45:50
"X'51387AE31463455AAD34B9EF7B056151'","X'14AF3220745843CE9893847040AA4F14'",0.71,2024-04-08 20:01:27
"X'513FFCD1DECC418488FEA12581723ECD'","X'8FBC7E6C19B64AB284A16300A457BC42'",0.90,2024-04-08 23:08:52
"X'5144D01C65E042B39E98757924A74B11'","X'728A5DEEB211462C949231AF09011F72'",1.29,2024-04-03 13:31:38
"X'514AB7751E8D4A338995A99F105B1D6B'","X'C69C61BE04834FDCAAC09774E774A653'",0.69,2024-04-07 16:57:34
"X'514AE0D7302E474CAFBA709B29771187'","X'4E2EAA2339AF4CBA879D1F7DCA35815C'",0.40,2024-04-03 12:36:31
"X'5150031C426A4D8595F197998176ABE3'","X'BDFD7D7BECD946908865C6B23B1E3700'",7.81,2024-04-08 21:54:45
"X'51500529FAFE434CA1499F1C887A931D'","X'831C822B7859402F80B0293BDB3CD4ED'",0.33,2024-04-08 21:32:25
"X'515070998A09489C8A2F72FA243684D9'","X'3C65C3D1363C448BBFB394A6344F7A63'",0.72,2024-04-05 16:16:32
"X'515461EA084840D9B326F67BB48D2ADE'","X'5213402DEA8B400B9EE5D9448ADA8F2F'",0.60,2024-04-05 14:21:33
"X'5157521B83C04555B9C40F390F4695E8'","X'5B58D4905C1344C68E0E52BBE288FC5B'",2.40,2024-04-07 11:23:05
"X'51727A6E4A9F4970AC768DE692AAB2D7'","X'742152E6B0A444B4A76BFB9E7BFDF0CD'",0.30,2024-04-07 20:59:32
"X'517A0DAD32D346B18BFD8F082A710959'","X'4FAE7E7A7EF34CE69849D2712E0D3EC1'",0.40,2024-04-07 22:23:09
"X'517BE61307C947CB8AE855336E902007'","X'66285A23735542E8AE006001F51BAF77'",0.32,2024-04-08 20:45:32
"X'517E400E6532452C9D4EFD9EDB35FE5F'","X'45983BA70C14454D9FA4D157A70FF34B'",3.21,2024-04-09 08:45:08
"X'5180DBA7C90D449BABDB1AB1E9960B06'","X'D3D6CBDD969048C99520EC5C3F72B273'",1.41,2024-04-05 12:43:19
"X'518B4C8F30D747329D45FD44861382CE'","X'CC940FDC7CFD4014AB38795A0776DC46'",0.70,2024-04-03 15:06:01
"X'518C12B1D6D143909D09AC61E60EDB77'","X'FC3C2E10562640EBB78FFB08B4802D57'",0.49,2024-04-07 21:21:26
"X'519B539449554CB2BC361B609FD12074'","X'ED890BD2D02A47A8878E7898172AA070'",0.80,2024-04-07 16:51:27
"X'51A85CEDF584481F82576470F06B0BC5'","X'ADDA6E0C7346437BB517E5F046DB70A0'",0.50,2024-04-07 16:26:43
"X'51AE20E388664647B6FC922414086820'","X'0C985B45667D44D2AA1F28CBEF8DC4E6'",1.80,2024-04-08 20:14:41
"X'51C436A1BC28459E93964164D99B9AFE'","X'30587DBB5D314C7BA65859B8B52098B5'",0.63,2024-04-07 13:20:19
"X'51C7514B64D848118C409F8D00C59E0D'","X'D32A96AA24B846DA9F06F8BB53094318'",0.37,2024-04-08 22:21:51
"X'51CEB93AF9F044E4AB66BAE77F02E7F8'","X'879D5A4626FE4369976D3551815D85C6'",0.10,2024-04-08 17:26:57
"X'51D1B69BC7504D6A8A5E361E3EB7C3B3'","X'37A0FC27F4B945BCA436755E149324C1'",3.07,2024-04-08 20:41:57
"X'51DA19F40B2E481BBD51B5ABBC3DF679'","X'7F74B24CBF644A6D8783F4AE13AA265E'",0.38,2024-04-07 20:43:10
"X'51E4D2EC6FC244B7A794E897601074F7'","X'0250538401254DEB80D737767C3F2DD4'",0.70,2024-04-07 15:22:38
"X'51F0716C8CD54C8A9A1820F35D93F3A2'","X'4D337187648F49308F6E5A5424598CE7'",0.78,2024-04-07 21:41:32
"X'51F4268B65684E22B33918FA61040933'","X'17F0477CFA8649EE952523CF37FA9644'",7.25,2024-04-08 22:46:36
"X'5219C761069B4B9CA20F1A81C2BB82AE'","X'14AF3220745843CE9893847040AA4F14'",0.97,2024-04-08 22:34:47
"X'5227A0A432804EFD877EDB366C9B526D'","X'BDFD7D7BECD946908865C6B23B1E3700'",0.20,2024-04-07 13:28:20
"X'52285A0A9A544E69850D5C724D068BD8'","X'4A336F50C86C4DBF95A5E761DD4F9F18'",2.96,2024-04-07 23:34:23
"X'522982A7DEE54AD7BF065413F6D30E13'","X'879D5A4626FE4369976D3551815D85C6'",0.63,2024-04-08 20:14:16
"X'523114DA7DCE47A3A05CF58DB5BCBD0D'","X'E382993DFCF841E7A1ACCDF209C9A665'",0.30,2024-04-04 01:40:34
"X'523316BFA75A44F09618B91475514234'","X'952599460C8449D492F6F92FBE5A771C'",1.88,2024-04-07 13:05:33
"X'5233F6E246F84B489CDE558ED13D6378'","X'53421812C7F54388BF0E59E2869411A8'",0.82,2024-04-07 19:38:25
"X'52511B3313F84C7ABFC76D0AA4716DA9'","X'9C0C211665B44037BAC89AF477845723'",0.63,2024-04-03 13:29:19
"X'52526CF43A844030923F14DF255F0FC5'","X'D4B0278BA4EE4F5DBB5B36E3B84F76AB'",1.10,2024-04-07 18:14:56
"X'5255EEE7832F4F7DB3862737CB76F358'","X'336A94947D81462192F96131A2350484'",1.39,2024-04-07 19:27:21
"X'5257885557CB401F853DA35AC551568D'","X'0A4CA3B4C132403F8E1F5A8C7B96F01E'",1.48,2024-04-05 16:35:42
"X'5259150125F94348A3517A944CA6195A'","X'FD853A43DBC44CEA8499A3347349F29C'",0.82,2024-04-03 19:27:39
"X'526E3355322F4FD390ED8314F4128BF0'","X'93ACD3A8F89244BD906D43D6C3B164A3'",1.15,2024-04-07 14:56:47
"X'52749C30A4F1403FA3157835F3CADAC1'","X'AD971F97ED1B4510B66B25C4C2234411'",2.08,2024-04-07 16:18:21
"X'5275F20E7FCF4E849C2B6ABBD3401761'","X'37125837CC1D40E9ADEB5C1BDEF99B05'",1.25,2024-04-06 19:25:55
"X'527BB1C0E1EB4D8B899A9D46BAC5B83C'","X'335E0C01A8DA441AAC0CD731CEBE3CB0'",0.31,2024-04-08 20:33:54
"X'5287E7F78E95485DB7C1121034CC6AB4'","X'7468F3E06A98489F8AEC43665E66547A'",0.40,2024-04-06 18:34:18
"X'528D8720C35A4A029671B6892ACF18CC'","X'C69C61BE04834FDCAAC09774E774A653'",0.60,2024-04-02 00:36:26
"X'52902AFDE48840E98BDB7ADEA9605FB6'","X'77B59222543E4789A8EF2E3B8DC98721'",0.94,2024-04-05 15:18:24
"X'52A39D836E3946F1BBEEB895738D360E'","X'7A67706395E34E5794A4E48C3058AF7E'",0.15,2024-04-07 15:42:17
"X'52CD271D0AC744499AFDF5A48FCBED44'","X'FBD4FF6BBA54411BB49C827F41FD6D42'",9.31,2024-04-09 13:02:32
"X'52D44CBB4D6E414E87133BD5A34AEACA'","X'9A6217060E3E4B08ABD5D194CF1B9814'",0.40,2024-04-07 18:56:50
"X'52D5EE4AD8264A899462BF119CA274D9'","X'F5FEFC5282CC4E789A173AAA5C7176A1'",4.00,2024-04-08 20:40:32
"X'52DBA54F62064427B5D12C5D540E0BA9'","X'9DF83FBB219F4D489879F7809669DC0C'",0.40,2024-04-07 15:20:58
"X'52F1B871614A49CAA2886B0A09E5E04E'","X'A748EC68A7264A898643AE4C92A6C5DE'",4.26,2024-04-08 22:45:01
"X'52F33B30E14A490F81E22BB16146D5FC'","X'C392A4D429A140D3AF9FBB4DCCC211AD'",0.50,2024-04-04 18:31:01
"X'52F59C12C4134386A4C5D927EE8C34F3'","X'DEF20D502CDA4C5C881449F7E24DFE4E'",1.98,2024-04-08 19:05:11
"X'52F7658DD66044D8BF98F42215A6D9EE'","X'B7672F8150FB4F339FF2DDFA96A6EDAB'",0.61,2024-04-05 14:21:50
"X'530A04A9B2864DEB8079526DFEF2E7C6'","X'0A2D93E4086342118C9859916B2F8D0F'",0.40,2024-04-01 23:44:15
"X'530F1776E4F04AB7BA4A34FF4F051533'","X'420F23C5101F44AB98DCC78431B8F647'",0.20,2024-04-07 13:20:05
"X'530FE9DAFB2F424883F205ABEFA9D182'","X'952599460C8449D492F6F92FBE5A771C'",0.84,2024-04-05 11:41:21
"X'5315AFC89E254301BF2AB4B5CF779CFC'","X'043545C746C9415C8242D645162AC362'",0.50,2024-04-02 00:36:30
"X'532FA90B610E46B58944C052C8D59719'","X'0BB7A32E166448F4ABB2229911929755'",0.88,2024-04-01 12:34:57
"X'532FEF0C778D4814B3D50D1E2A3ED24F'","X'3B3C10487F2A440188617DFBEDC0DC68'",0.99,2024-04-08 19:47:34
"X'533045C3016C41C6ACA84A1167F565C2'","X'1155B603FB6C444692FE4E2E393AF061'",4.10,2024-04-08 19:49:03
"X'53354AE42C6E429ABD43618CF4802015'","X'5072C82D65FD459C90C2C110285EE6B8'",0.92,2024-04-08 18:58:07
"X'53365693C3C14FE1AD562A6D880F6B52'","X'0B97AA2433C947A68D07B63A6D12530F'",0.90,2024-04-04 01:44:57
"X'533E22BDBC774B4B9F08FD8807BC0DC8'","X'6C3995D49B14452DA11EBCCF2C2194B6'",0.20,2024-04-02 13:47:16
"X'53416CA2C0A64AFC8DA5C6D0AE6C6F90'","X'E2D0A0BC3E1D46AB82D60160CF57B8D9'",0.70,2024-04-07 11:20:06
"X'5346B4BA74054FAB831279C4AFBA0B02'","X'4D337187648F49308F6E5A5424598CE7'",0.30,2024-04-07 15:35:43
"X'534DC33F57C0405FAE46CCA0B5B9DBD6'","X'AC8810224E764F5FBE58BF676F810A09'",0.91,2024-04-06 17:37:26
"X'534DD660FCBC4F46B52058807257D4EA'","X'65579DA5717B46428E05E24A4E2AA56D'",1.03,2024-04-07 15:18:03
"X'5357C4A9317E4514930C33D3B3788C8B'","X'63663ADE7AA0455CA3B7DBD19E96CA05'",0.80,2024-04-03 21:15:14
"X'53585528CA264501A5EED7DAA6D6C289'","X'837E21849CC04979AD37EC0F5681C8F0'",0.40,2024-04-07 16:53:14
"X'5363E723F90B48149C91776030227777'","X'54A077F4F1764A7F8B4E2F3B0DD857EC'",6.96,2024-04-08 20:38:55
"X'53699BB6536346769B90D2FE7E50FC26'","X'93ACD3A8F89244BD906D43D6C3B164A3'",1.81,2024-04-08 10:12:38
"X'5369F781A9E649ED9BBBF1FA07C0DA68'","X'4221FCD9E507492E99975C6E5197264F'",0.70,2024-04-07 20:42:16
"X'536EB37D01DD47C0B3BBF168188999CB'","X'766F249974124A3DABA6C523BBB50300'",0.96,2024-04-05 16:12:56
"X'538B8817D65D4A35943060B0BF4F7360'","X'7190D560BCDD4FAA89C27C1D58DF37CD'",0.30,2024-04-01 23:44:30
"X'539AA959A2404C1799A231200C39484D'","X'0C6D72339A1C4CF5B14A2E48BE49BEAD'",0.50,2024-04-07 22:30:23
"X'539DD6BFF49C4FADAA031A8D3F97DCCF'","X'91A6CDD84936484EA5189B27132784BB'",0.50,2024-04-08 14:38:00
"X'53A441584AA64894847A13283B06F96E'","X'0A2D93E4086342118C9859916B2F8D0F'",0.40,2024-04-03 14:04:50
"X'53B04582F57E43F7A5CB1FEE61BB8078'","X'9DF83FBB219F4D489879F7809669DC0C'",0.40,2024-04-07 11:01:44
"X'53B1DD60C15D4CA1B2652C0101A6C9A3'","X'DE881F531A5B40DE939A17D92957141E'",0.89,2024-04-07 16:55:35
"X'53B7935A0D3445B79C445EB94299156E'","X'3CBB5DF01FE245EE932C8EFE8E7B5313'",0.90,2024-04-05 16:12:03
"X'53B8D56F93AE43D090393394201D7239'","X'4762AC9F9C5346129D46ABBF4F26D259'",0.41,2024-04-07 15:52:37
"X'53BD9DFBAE1140F985718CF33BBF0512'","X'89160B7BA1EE4316BCE8EE79CFF9C8EA'",0.40,2024-04-07 18:52:29
"X'53C1D0A538CF4B70844FF0ED1FCD9E8E'","X'B58050829B6E4F189CEE727C4992C66F'",1.02,2024-04-07 13:05:17
"X'53CA042A10E749DBAD5058F2EA76E516'","X'798D01130A3F4A389536918926F66DFC'",0.61,2024-04-08 10:16:41
"X'53CFA15403AD4CCFA6D390A106075389'","X'B7672F8150FB4F339FF2DDFA96A6EDAB'",0.72,2024-04-07 13:17:55
"X'53D22150BAA6432DBDEA958E59FE35EB'","X'76D11A2D357340A3B2DA1034EA64293D'",1.71,2024-04-07 14:56:27
"X'53DABBA18B3A4C01998A85ADA6219909'","X'30587DBB5D314C7BA65859B8B52098B5'",0.84,2024-04-07 16:27:56
"X'53EB359E24C94A5B935196C84B93863B'","X'76FD6694CFC047609643E2593165CC7C'",0.62,2024-04-07 15:22:11
"X'53F745B79B0B47C8BDD18156D446D7AC'","X'A719DA482B97463094299CF2209C8B62'",0.30,2024-04-03 19:27:28
"X'5403FC8D80444D3488C4F4937EDE1F07'","X'0FDA4670E97844F0A3523DF60928B3EA'",0.40,2024-04-08 12:07:34
"X'5418B0E23E014CE38C8357201BBCC629'","X'5A285E65D8B44E158DD3B3005A3865C7'",1.88,2024-04-07 19:35:43
"X'541EC84DDDEA4C57994FEB9804032160'","X'F612FD19415C4A719536B664C676FA97'",0.40,2024-04-01 23:44:11
"X'5424453750D541109EE63E33EA91D82C'","X'718222992F194E3CA4C8D3E94756FA1B'",3.00,2024-04-07 19:51:56
"X'5429B05DAE614C519789D637F50E5EC5'","X'281EC912C5C64B9AA8269E75849A6ED9'",1.01,2024-04-07 19:29:50
"X'54318E4FD3C6450295FA330E7ED48B40'","X'4305B4E841B147669F9BB00ECBC803C4'",0.69,2024-04-06 17:37:32
"X'5443C1DBD8E843EAA6423037784289AE'","X'F3232770DF1146F8807AE9321695C78F'",0.51,2024-03-31 16:57:59
"X'544557005C4848F18435CC852733022F'","X'87958784ABBF4B3B8ADE06593A953063'",0.49,2024-04-08 19:47:18
"X'546544A56DFB4342A2AFD8C42980847D'","X'3C65C3D1363C448BBFB394A6344F7A63'",0.94,2024-04-05 16:53:53
"X'5466919D1F2C46FB98A611D3EC6D486E'","X'57B7C129C6DE496EBFAAEFFD63765451'",0.60,2024-04-07 18:03:23
"X'546F2937A4BE417F830C7D357AA69983'","X'CF516B1FC9BF4D37A5E60C4A012A4AA3'",0.15,2024-04-07 15:22:30
"X'5471748E333545A2989F936CF7FCFC1B'","X'718222992F194E3CA4C8D3E94756FA1B'",0.50,2024-04-03 01:22:02
"X'5484CF6754384AC8AE8A9D9D54EE004B'","X'9E8634237A4F4D11AFAE83A4585C88A5'",0.40,2024-04-07 14:30:10
"X'548A03D7284E4EA4B6BA9DD4820D018E'","X'EB7910BFBE20458A8C6188DA301D72AF'",0.56,2024-04-01 12:42:19
"X'548AAE2410494BA2B268B0BAA568577E'","X'A31D2F06C25E4F77BCCBE2145E8DFFA1'",3.26,2024-04-07 21:37:50
"X'549925683EC046228445C3AC8F4FE058'","X'0E7FA347A8CA499998AC8E2FCA8CA244'",0.61,2024-04-05 11:48:41
"X'549AC3328C314F8CA235BC6EFDED24CF'","X'AE643D197B474B299B38A209C534FF41'",0.70,2024-04-07 11:14:02
"X'54A8DB3CBD8D4EC38175623B6EBF9D8C'","X'6A727679554B44618DA3D98AF3DDF571'",0.60,2024-04-07 14:22:48
"X'54AA330FEA094BB89969C60F14B0EABE'","X'3E654A82A2E04785AC4212C17FF937FC'",0.92,2024-04-08 16:49:31
"X'54B0A15A957B4C35BBB1D89F4908CC32'","X'728A5DEEB211462C949231AF09011F72'",0.59,2024-04-02 11:18:56
"X'54BAD8F129A04515AC11224917525041'","X'09D22D2F959448E09DB77B4245467898'",0.80,2024-04-06 17:32:37
"X'54C18EBCDAEF4A8F8E238014212479C0'","X'2D0A90A2C3524D239E881577D0A961E5'",2.51,2024-04-08 18:25:55
"X'54E64472760A4E3E92C72EE6C4CB645E'","X'7D1C4A27828E422E89237986812F386B'",0.40,2024-04-04 19:05:10
"X'54F6A5258C6745208FC445B000BB2E0D'","X'A701A2DA26DE40BE8FBFBBA3861F7BA4'",0.59,2024-04-07 16:56:42
"X'54F90299F57848198FB74466D43BB499'","X'B54BA8BB06674756A635EFE977BCB153'",0.60,2024-04-05 14:06:40
"X'54FAE07AF5E74D58BF7762799EC8D441'","X'1437277BDA7E48B5891C7822A9B2548E'",0.30,2024-04-04 12:59:11
"X'550319AEA7C642A7B2E6BFF4BD258E3A'","X'B73A8B9553FA4FEEB67985F14554FFFC'",0.56,2024-04-01 12:33:07
"X'55109FFDD7E046D8B26E30F8ECED709E'","X'FC4CF03601D446839DAFDFA4CF9F68C1'",0.90,2024-04-08 22:46:39
"X'5512A5E0724B45B689A09031D90BD0AB'","X'64D12B11A4EC4397A695857B45C36728'",0.61,2024-04-07 22:21:56
"X'55177A0DC73642E5AEDB5FBB4BB8B28E'","X'31F5EF897F2F401DB356DD3EB52B85DC'",2.36,2024-04-07 23:31:38
"X'551D9DD6E98C474A9A0E9AB8DC890099'","X'E60C17FD98BB48068F8862B437BEF6F1'",1.33,2024-04-03 19:16:12
"X'55377820880C4ADB81290B8B55EC0A1D'","X'2E509A2D07A743E4AD6AA28F23127629'",0.36,2024-04-07 22:05:35
"X'5546149F4FA249D192A4C4B142A26715'","X'2AB58D5CA4B34F1582771D5EE5CF4E84'",0.60,2024-04-04 19:05:17
"X'55537B6F7FC442C68E8B3EACE10E383D'","X'19DD91B3E54146119622197205848819'",0.33,2024-04-03 20:58:58
"X'55604ED800584759963729712D8BDA3C'","X'7FAA2D5675E84DB5B9120261E0D3E547'",3.45,2024-04-08 21:51:29
"X'556CD34B5F194ED3BA61B88DB31C1CA3'","X'AC56DCCCA6CD492B9688DC53D46832F7'",0.71,2024-04-01 12:44:20
"X'5573DE11AEDC41199282DE7D2156C9A6'","X'5072C82D65FD459C90C2C110285EE6B8'",0.88,2024-04-08 16:47:54
"X'5576B70646F2493D9E7CE406FA52DC59'","X'D1BCDC2E876A4118B74751B995A590BB'",0.88,2024-04-07 10:58:30
"X'557ACB66F5C64A0F9EA3638CFD7CDFCA'","X'AD4891393839491EA3D053544D4900C8'",0.30,2024-04-04 19:04:42
"X'5598A52F9709455CBDC0A1FDDA0A5509'","X'D4490E86E4944637A2A8D5098048AFD9'",0.51,2024-04-07 20:41:56
"X'55AE34430BB34D609BE9E3A09B48B9F8'","X'36FDB9552A3347C29FA7DB0F12D89765'",0.54,2024-04-07 15:19:45
"X'55B9E20D0FC146EA9AEEFD18438C6042'","X'CFFFF026F1314FB9AB87DBB21FF74A7B'",0.69,2024-04-07 23:44:30
"X'55C02A257E1041DA9536C25EFCAB7E1A'","X'0A2D93E4086342118C9859916B2F8D0F'",0.40,2024-04-05 11:01:57
"X'55CC943089134F2A883B172836FDDEA9'","X'D7B26782A38E4DEB81DE630B0CE038D5'",0.90,2024-04-03 15:06:10
"X'55CD6590631A4905A6B2E0370BD28380'","X'6A727679554B44618DA3D98AF3DDF571'",0.50,2024-04-03 12:54:32
"X'55E14D22C95145FDBF55859C5B71284E'","X'810EA2FE36AC4595B5A27A41DD0D71E7'",1.23,2024-04-05 12:48:32
"X'55E3A9331F5F425C84FED5D3708EC36F'","X'FCF707C2B6014573A77C8DCD03680325'",0.80,2024-04-07 13:49:21
"X'55E5281968734C5199C6A6C4A4372C3E'","X'1FC7379B5233412794A88523B2B0F308'",1.06,2024-04-01 21:04:44
"X'55EBDB9ACEC44D82B78E5CAE143085C7'","X'336A94947D81462192F96131A2350484'",0.71,2024-04-07 17:08:25
"X'5609E3A3241947E5AEBE90C59E0553EF'","X'F5EBABA15DD7423FB1748508570C6AAD'",8.93,2024-04-09 13:06:12
"X'560BF13B88EA405485A7F837D5D225A9'","X'CFFFF026F1314FB9AB87DBB21FF74A7B'",0.60,2024-04-07 11:15:11
"X'560F8E59A46A4918B4EADB6BCAF1285E'","X'FCF707C2B6014573A77C8DCD03680325'",0.80,2024-04-07 14:55:11
"X'561340AFAA274491B83073EA7BBD0FDE'","X'6825FFEADA5B43AF9D862728A0600A44'",0.70,2024-04-07 23:45:05
"X'56150088A69D4033A74D92D4D13AEAA5'","X'E52C0CDAC71A49C192C451132E90FF5A'",0.60,2024-04-07 16:55:49
"X'561B30237C464BB7B560CF572E28733A'","X'33E48E402EF0489D87F89B5AE44AB10A'",0.63,2024-04-07 13:17:38
"X'5625ABF1E2C24233ABB47AF0EED9D00D'","X'952599460C8449D492F6F92FBE5A771C'",0.80,2024-04-03 12:48:44
"X'563E189083FB4FE9B62C32FBF4206F24'","X'7FAA2D5675E84DB5B9120261E0D3E547'",0.60,2024-04-03 21:06:17
"X'56425D4CE8EF453D9FC7428CA861BAA8'","X'0262BB736CBB4A9183C125172AA12B5D'",0.30,2024-04-04 01:37:48
"X'5645C05670184B0981ACC94CB0C32FE9'","X'DCE7B411A20446C1B5B282650C85F558'",0.42,2024-04-01 12:42:32
"X'564E807AE046431A8B696F883063CF46'","X'DF35F42954174FB897F4CC6535F11F27'",0.82,2024-04-08 17:28:01
"X'5652419B21BC44FEA1283859DE261A67'","X'C392A4D429A140D3AF9FBB4DCCC211AD'",0.50,2024-04-03 14:04:00
"X'5654809544714CB58915B55D714002F3'","X'FBD4FF6BBA54411BB49C827F41FD6D42'",0.40,2024-04-08 19:23:45
"X'565E844099964B4AA20BE0B707DFD984'","X'D5470A9DCAD148C4872A7F0089546A5E'",0.92,2024-04-08 17:41:25
"X'566D605955664754B43C17BDB9814D08'","X'A748EC68A7264A898643AE4C92A6C5DE'",0.80,2024-04-03 12:39:29
"X'5671631BB43E47F7BE6CDE2EAF9CE9C6'","X'2D0A90A2C3524D239E881577D0A961E5'",0.30,2024-04-07 16:48:51
"X'567B06A8C5594B1FB04ECF79F9554A23'","X'D3B7562EB63D4488ABF20203172C8ACC'",1.41,2024-04-07 18:03:39
"X'56819C3B827F4ED7B7B1A3C4B23739BB'","X'20955D041CC540E3B78B0A044C7E5833'",0.98,2024-04-08 19:08:30
"X'56910A62416B457FA752BA3167791E51'","X'EBC0BEF88846463FA3CB30D14CD4F9FA'",0.90,2024-04-09 06:59:03
"X'5691A302D20F4BA99623DC95159620F1'","X'EBEBB4961AD748C29C3FA5EEB62EDD11'",2.43,2024-04-03 13:43:19
